"evaluation_id","datetime","phasenumber","phasename","mse_mean","mse_std","mse_inverse","mae_mean","mae_std","mae_inverse","r2_mean","r2_std"
63b855ca-fa6d-4fb5-b237-c09ceefaf7ad,2020-06-06 17:54:55,2,Diseno,-0.0013785255915637852,1.2658235927521539e-05,0.25,-0.023542361111111115,0.00025108827346849216,0.25,0.9246934754181583,0.0008669840192612106
63b855ca-fa6d-4fb5-b237-c09ceefaf7ad,2020-06-06 17:54:55,3,Implantacion,-4.1199383271118326e-27,1.8304035294023063e-29,0.25,-5.382790796426563e-14,1.8015854647185573e-16,0.25,0.9999983014266954,5.095719913761343e-06
63b855ca-fa6d-4fb5-b237-c09ceefaf7ad,2020-06-06 17:54:55,4,Soporte,-1.2345679012346183e-07,3.703703703703855e-07,0.25,-1.1111112625352058e-06,3.333333333266178e-06,0.25,1.0,0.0
4195b658-5892-4071-b216-ef10d2b57736,2020-06-06 19:05:21,1,Recopilacion,-0.01260364476126451,7.321235813396543e-05,0.25,-0.079683885126778,0.00019713457999664128,0.25,-0.2309368852964429,0.01008519876222863
4195b658-5892-4071-b216-ef10d2b57736,2020-06-06 19:05:21,2,Diseno,-0.0031452980352431707,3.371584215699488e-05,0.25,-0.030126197947214085,0.00015827225425949585,0.25,0.6856781506614766,0.0029635524479076094
4195b658-5892-4071-b216-ef10d2b57736,2020-06-06 19:05:21,3,Implantacion,-0.002853396899898897,2.2537566284142162e-05,0.25,-0.022120209366391586,0.00012751588169349407,0.25,0.7151680286427504,0.0021029602596964103
4195b658-5892-4071-b216-ef10d2b57736,2020-06-06 19:05:21,4,Soporte,-2.7052534815439096e-07,1.4967442940247156e-07,0.25,-4.248220794254379e-06,2.025973255459226e-06,0.25,0.9999773229013739,1.0497659406438786e-05
9f0e5715-95a8-423a-8ae5-ac319f933010,2020-06-06 20:46:45,1,Recopilacion,-0.004339033299202325,2.603867154482337e-05,0.25,-0.03436751410256411,0.00013026409983864484,0.25,0.5782312660862954,0.0033169157497811475
9f0e5715-95a8-423a-8ae5-ac319f933010,2020-06-06 20:46:45,2,Diseno,-0.0011036458640507334,1.6018595969390837e-05,0.25,-0.015528233333333353,0.00013412631907603427,0.25,0.9452332034016144,0.0007778226328249091
9f0e5715-95a8-423a-8ae5-ac319f933010,2020-06-06 20:46:45,3,Implantacion,-0.00037495327160493844,1.3825984079833014e-05,0.25,-0.002561738888892149,6.01991860922809e-05,0.25,0.9800766396400153,0.0008206218372975008
9f0e5715-95a8-423a-8ae5-ac319f933010,2020-06-06 20:46:45,4,Soporte,-7.109371214942304e-07,2.783046907862658e-07,0.25,-1.0944426450069887e-05,3.4419676422724972e-06,0.25,0.9999641160181737,1.5280769749062413e-05
