"evaluation_id","datetime","phasenumber","phasename","mse_mean","mse_std","mse_inverse","mae_mean","mae_std","mae_inverse","r2_mean","r2_std"
bc3510d9-211d-4ad9-9659-7a3536bfd10c,2020-06-04 09:01:40,1,Recopilacion,-0.0012296278826863082,4.440000910281754e-05,0.25,-0.028344056630368188,0.0006078407728922939,0.25,0.9634130817330521,0.0020940922058385585
bc3510d9-211d-4ad9-9659-7a3536bfd10c,2020-06-04 09:01:40,2,Diseno,-0.0005469543441489688,1.6862774424170715e-05,0.25,-0.019050048460806244,0.00035988710452399843,0.25,0.9852929641851398,0.0006680887767611067
bc3510d9-211d-4ad9-9659-7a3536bfd10c,2020-06-04 09:01:40,3,Implantacion,-0.00013393201765264683,5.2331122496168685e-06,0.5,-0.009382770460463534,0.0002412043183227986,0.5,0.9959991122567728,0.00023968539368029063
bc3510d9-211d-4ad9-9659-7a3536bfd10c,2020-06-04 09:01:40,4,Soporte,-0.0002915034361167552,3.6843832296577256e-06,0.25,-0.015397771030569071,0.00013640553438356673,0.25,0.9914891264416964,0.0003831690076267139
94f9e3cf-6e75-4860-90e8-99903a8494a1,2020-06-04 09:25:53,1,Recopilacion,-0.0012296278826863082,4.440000910281754e-05,0.25,-0.028344056630368188,0.0006078407728922939,0.25,0.9634130817330521,0.0020940922058385585
94f9e3cf-6e75-4860-90e8-99903a8494a1,2020-06-04 09:25:53,2,Diseno,-0.0005469543441489688,1.6862774424170715e-05,0.25,-0.019050048460806244,0.00035988710452399843,0.25,0.9852929641851398,0.0006680887767611067
94f9e3cf-6e75-4860-90e8-99903a8494a1,2020-06-04 09:25:53,3,Implantacion,-0.00013393201765264683,5.2331122496168685e-06,0.5,-0.009382770460463534,0.0002412043183227986,0.5,0.9959991122567728,0.00023968539368029063
94f9e3cf-6e75-4860-90e8-99903a8494a1,2020-06-04 09:25:53,4,Soporte,-0.0002915034361167552,3.6843832296577256e-06,0.25,-0.015397771030569071,0.00013640553438356673,0.25,0.9914891264416964,0.0003831690076267139
1450cf2c-da7a-4f4b-a5d5-a92421487e73,2020-06-04 09:34:42,1,Recopilacion,-0.0012296278826863082,4.440000910281754e-05,0.25,-0.028344056630368188,0.0006078407728922939,0.25,0.9634130817330521,0.0020940922058385585
1450cf2c-da7a-4f4b-a5d5-a92421487e73,2020-06-04 09:34:42,2,Diseno,-0.0005469543441489688,1.6862774424170715e-05,0.25,-0.019050048460806244,0.00035988710452399843,0.25,0.9852929641851398,0.0006680887767611067
1450cf2c-da7a-4f4b-a5d5-a92421487e73,2020-06-04 09:34:42,3,Implantacion,-0.00013393201765264683,5.2331122496168685e-06,0.5,-0.009382770460463534,0.0002412043183227986,0.5,0.9959991122567728,0.00023968539368029063
1450cf2c-da7a-4f4b-a5d5-a92421487e73,2020-06-04 09:34:42,4,Soporte,-0.0002915034361167552,3.6843832296577256e-06,0.25,-0.015397771030569071,0.00013640553438356673,0.25,0.9914891264416964,0.0003831690076267139
008effed-0dca-49d7-8930-bb7cd4416e1b,2020-06-04 09:35:37,1,Recopilacion,-0.0012296278826863082,4.440000910281754e-05,0.25,-0.028344056630368188,0.0006078407728922939,0.25,0.9634130817330521,0.0020940922058385585
008effed-0dca-49d7-8930-bb7cd4416e1b,2020-06-04 09:35:37,2,Diseno,-0.0005469543441489688,1.6862774424170715e-05,0.5,-0.019050048460806244,0.00035988710452399843,0.5,0.9852929641851398,0.0006680887767611067
008effed-0dca-49d7-8930-bb7cd4416e1b,2020-06-04 09:35:37,3,Implantacion,-0.00013393201765264683,5.2331122496168685e-06,0.5,-0.009382770460463534,0.0002412043183227986,0.5,0.9959991122567728,0.00023968539368029063
008effed-0dca-49d7-8930-bb7cd4416e1b,2020-06-04 09:35:37,4,Soporte,-0.0002915034361167552,3.6843832296577256e-06,0.25,-0.015397771030569071,0.00013640553438356673,0.25,0.9914891264416964,0.0003831690076267139
59097228-c7d4-4d7d-8c44-ad1c7919d98c,2020-06-04 09:39:49,1,Recopilacion,-0.0012296278826863082,4.440000910281754e-05,0.25,-0.028344056630368188,0.0006078407728922939,0.25,0.9634130817330521,0.0020940922058385585
59097228-c7d4-4d7d-8c44-ad1c7919d98c,2020-06-04 09:39:49,2,Diseno,-0.0005469543441489688,1.6862774424170715e-05,0.5,-0.019050048460806244,0.00035988710452399843,0.5,0.9852929641851398,0.0006680887767611067
59097228-c7d4-4d7d-8c44-ad1c7919d98c,2020-06-04 09:39:49,3,Implantacion,-0.00013393201765264683,5.2331122496168685e-06,0.5,-0.009382770460463534,0.0002412043183227986,0.5,0.9959991122567728,0.00023968539368029063
59097228-c7d4-4d7d-8c44-ad1c7919d98c,2020-06-04 09:39:49,4,Soporte,-0.0002915034361167552,3.6843832296577256e-06,0.25,-0.015397771030569071,0.00013640553438356673,0.25,0.9914891264416964,0.0003831690076267139
e4bb2f72-dc51-4879-8c07-17ac121d3351,2020-06-04 09:45:13,1,Recopilacion,-0.0012296278826863082,4.440000910281744e-05,0.25,-0.02834405663036818,0.0006078407728922937,0.25,0.9634130817330521,0.0020940922058385525
e4bb2f72-dc51-4879-8c07-17ac121d3351,2020-06-04 09:45:13,2,Diseno,-0.0005469543441489689,1.6862774424170623e-05,0.5,-0.019050048460806247,0.0003598871045239972,0.5,0.9852929641851398,0.0006680887767610818
e4bb2f72-dc51-4879-8c07-17ac121d3351,2020-06-04 09:45:13,3,Implantacion,-0.00013393201765264678,5.233112249616839e-06,0.5,-0.009382770460463537,0.00024120431832280742,0.5,0.9959991122567728,0.00023968539368029063
