evaluation_id,datetime,phasenumber,phasename,mse_mean,mse_std,mae_mean,mae_std,r2_mean,r2_std
f49e3a3c-9d65-49fe-af4c-e2838dcdeb3e,2020-06-04 11:24:50,1,Recopilacion,-0.004202239599138747,0.00018243903276713436,-0.05129797117965459,0.0010034912879495887,0.988166363493794,0.0006676662665569704
f49e3a3c-9d65-49fe-af4c-e2838dcdeb3e,2020-06-04 11:24:50,2,Diseno,-0.006954033774529302,0.0002512570514830395,-0.06707323453778033,0.0011981251329293073,0.9917152032176648,0.0003626478590034627
f49e3a3c-9d65-49fe-af4c-e2838dcdeb3e,2020-06-04 11:24:50,3,Implantacion,-0.00873541739195557,0.0005271890016779787,-0.06419632665620278,0.001699209838910142,0.9981111374151285,0.00012822806342523363
f49e3a3c-9d65-49fe-af4c-e2838dcdeb3e,2020-06-04 11:24:50,4,Soporte,-2.1490097697201034e-10,6.361330584362283e-11,-7.128127012148742e-06,4.798346965869055e-07,0.999999999609377,1.1045149463791567e-10
2ee3ea9d-b71b-4fc7-837e-cafaa6d8a209,2020-06-04 12:06:26,1,Recopilacion,-0.004202239599138747,0.00018243903276713436,-0.05129797117965459,0.0010034912879495887,0.988166363493794,0.0006676662665569704
2ee3ea9d-b71b-4fc7-837e-cafaa6d8a209,2020-06-04 12:06:26,2,Diseno,-0.006954033774529302,0.0002512570514830395,-0.06707323453778033,0.0011981251329293073,0.9917152032176648,0.0003626478590034627
2ee3ea9d-b71b-4fc7-837e-cafaa6d8a209,2020-06-04 12:06:26,3,Implantacion,-0.00873541739195557,0.0005271890016779787,-0.06419632665620278,0.001699209838910142,0.9981111374151285,0.00012822806342523363
2ee3ea9d-b71b-4fc7-837e-cafaa6d8a209,2020-06-04 12:06:26,4,Soporte,-2.1490097697201034e-10,6.361330584362283e-11,-7.128127012148742e-06,4.798346965869055e-07,0.999999999609377,1.1045149463791567e-10
56c7e351-8bd1-4808-a61a-531b51e126d7,2020-06-06 11:30:08,1,Recopilacion,-0.003988825475044107,0.00027388648443516206,-0.05015727292899306,0.0018604535307983985,0.9887646113391215,0.000901886884122466
56c7e351-8bd1-4808-a61a-531b51e126d7,2020-06-06 11:30:08,2,Diseno,-0.0070676703159487046,0.0002676228982484783,-0.06781543836032519,0.0009814656146994985,0.9915817326593309,0.0003371607002719968
56c7e351-8bd1-4808-a61a-531b51e126d7,2020-06-06 11:30:08,3,Implantacion,-0.008900693957547284,0.0004900172754552331,-0.06500915477299199,0.0017916956775162916,0.9980758511316756,0.00011443642187616906
56c7e351-8bd1-4808-a61a-531b51e126d7,2020-06-06 11:30:08,4,Soporte,-2.1490097697201034e-10,6.361330584362283e-11,-7.128127012148742e-06,4.798346965869055e-07,0.999999999609377,1.1045149463791567e-10
0f5a0d75-5bd4-4a34-9fb0-94c5142e429c,2020-07-01 12:26:42,1,Recopilacion,-0.03200055755134721,0.0004964918004942441,-0.09838608530219388,0.0009611832306172575,0.9278978523788094,0.0011015989068065318
0f5a0d75-5bd4-4a34-9fb0-94c5142e429c,2020-07-01 12:26:42,2,Diseno,-0.029948776883387485,0.0003217415533294062,-0.11733587702239527,0.0003103462880803878,0.9713495920145128,0.00030587824041265413
0f5a0d75-5bd4-4a34-9fb0-94c5142e429c,2020-07-01 12:26:42,3,Implantacion,-0.00424890856643491,0.0001064443750263969,-0.009692587517884958,0.00014371084464067502,0.9959266595633295,0.00010138885799005121
0f5a0d75-5bd4-4a34-9fb0-94c5142e429c,2020-07-01 12:26:42,4,Soporte,-3.801109108885701e-05,9.120451981185374e-07,-0.000755817947213237,1.20818737800847e-05,0.9998761906830753,2.9136978003088534e-06
